WAFER_ID,WAFER_SEQ,CHAMBER,STAGE,USAGE_OF_POLISHING_TABLE,USAGE_OF_DRESSER,PAD_GROOVE_DEPTH_UM,PRESS_DOWNFORCE_Z1,PRESS_DOWNFORCE_Z2,PRESS_DOWNFORCE_Z3,PRESS_RETAINING_RING,ROTATION_TABLE_RPM,ROTATION_HEAD_RPM,FLOW_RATE_SLURRY,CURRENT_TABLE_MOTOR,TEMP_PAD,CONDITIONER_DOWNFORCE,RemovalRate,IS_SYNTHETIC
W1_0174,174,Chamber 1,Stage A,174,21.4,914.5,3.828,3.72,3.693,5.057,92.0,85.5,220.73,19.28,40.86,8.63,2402.0,True
W1_0175,175,Chamber 1,Stage A,175,21.5,906.9,3.837,3.692,3.668,5.19,91.29,86.13,218.99,19.25,41.69,8.49,2383.6,True
W1_0176,176,Chamber 1,Stage B,176,21.6,908.6,2.367,2.372,2.27,3.273,65.19,59.31,158.64,16.32,32.05,8.68,1058.4,True
W1_0177,177,Chamber 1,Stage A,177,21.7,912.2,3.782,3.767,3.7,5.179,92.03,85.68,218.34,19.42,42.38,8.58,2373.3,True
W1_0178,178,Chamber 1,Stage A,178,21.8,908.3,3.77,3.712,3.656,5.23,93.24,86.24,219.63,19.59,42.02,8.58,2398.3,True
W1_0179,179,Chamber 1,Stage A,179,21.9,900.3,3.82,3.737,3.673,5.099,91.78,85.56,220.88,19.33,42.4,8.62,2394.3,True
W1_0180,180,Chamber 1,Stage B,180,22.0,900.4,2.388,2.373,2.329,3.225,64.97,59.39,159.29,16.37,32.65,8.63,1055.3,True
W1_0181,181,Chamber 1,Stage A,181,22.1,904.1,3.821,3.737,3.663,5.104,91.14,86.44,219.04,19.47,41.85,8.37,2390.5,True
W1_0182,182,Chamber 1,Stage A,182,22.2,905.8,3.759,3.76,3.656,5.112,92.06,85.29,220.82,19.22,40.71,8.35,2358.7,True
W1_0183,183,Chamber 1,Stage A,183,22.3,896.4,3.784,3.673,3.615,5.192,91.94,85.78,220.32,19.3,42.34,8.58,2330.2,True
W1_0184,184,Chamber 1,Stage B,184,22.4,892.7,2.408,2.323,2.275,3.257,64.98,60.01,158.48,16.38,32.47,8.47,1017.3,True
W1_0185,185,Chamber 1,Stage A,185,22.5,901.4,3.755,3.704,3.645,5.058,91.63,85.6,220.41,19.08,41.31,8.51,2343.3,True
W1_0186,186,Chamber 1,Stage A,186,22.6,894.5,3.84,3.685,3.673,5.171,91.54,86.33,223.08,19.2,41.68,8.33,2382.3,True
W1_0187,187,Chamber 1,Stage A,187,22.7,893.7,3.812,3.684,3.679,5.188,91.91,85.98,216.94,19.44,41.84,8.58,2362.4,True
W1_0188,188,Chamber 1,Stage B,188,22.8,892.6,2.369,2.351,2.299,3.251,64.85,59.95,161.65,16.38,32.62,8.43,1023.9,True
W1_0189,189,Chamber 1,Stage A,189,22.9,885.8,3.785,3.732,3.657,5.118,91.69,85.72,218.17,19.3,41.36,8.38,2380.2,True
W1_0190,190,Chamber 1,Stage A,190,23.0,885.7,3.807,3.739,3.662,5.134,92.3,86.19,217.52,19.39,41.84,8.63,2388.3,True
W1_0191,191,Chamber 1,Stage A,191,23.1,892.8,3.832,3.795,3.624,5.061,92.12,86.29,219.54,19.09,41.53,8.72,2410.4,True
W1_0192,192,Chamber 1,Stage B,192,23.2,886.5,2.377,2.336,2.33,3.221,64.98,60.01,156.16,16.44,32.11,8.5,1025.8,True
W1_0193,193,Chamber 1,Stage A,193,23.3,876.1,3.792,3.716,3.672,5.147,92.23,86.39,219.34,19.45,41.07,8.41,2387.6,True
W1_0194,194,Chamber 1,Stage A,194,23.4,891.8,3.76,3.738,3.664,5.157,91.9,85.95,220.66,18.91,40.75,8.51,2356.8,True
W1_0195,195,Chamber 1,Stage A,195,23.5,876.6,3.811,3.715,3.676,5.154,92.17,86.24,224.11,19.38,41.6,8.33,2355.2,True
W1_0196,196,Chamber 1,Stage B,196,23.6,874.3,2.391,2.381,2.332,3.178,65.02,59.72,157.48,16.37,33.09,8.47,1028.9,True
W1_0197,197,Chamber 1,Stage A,197,23.7,870.9,3.831,3.787,3.6,5.036,92.75,86.16,218.26,19.03,40.83,8.58,2388.8,True
W1_0198,198,Chamber 1,Stage A,198,23.8,873.1,3.803,3.696,3.656,5.085,91.84,85.6,221.3,19.05,41.46,8.63,2337.2,True
W1_0199,199,Chamber 1,Stage A,199,23.9,866.4,3.879,3.691,3.692,5.18,92.11,86.7,220.74,19.41,42.16,8.56,2370.8,True
W1_0200,200,Chamber 1,Stage B,200,24.0,868.0,2.394,2.328,2.302,3.302,64.82,59.98,160.12,16.22,31.79,8.63,1053.6,True
W1_0201,201,Chamber 1,Stage A,201,24.1,867.5,3.744,3.743,3.629,5.071,91.75,85.93,218.79,19.37,42.17,8.17,2314.7,True
W1_0202,202,Chamber 1,Stage A,202,24.2,863.3,3.8,3.742,3.668,5.093,92.03,86.18,222.91,19.49,41.97,8.61,2363.8,True
W1_0203,203,Chamber 1,Stage A,203,24.3,860.9,3.842,3.745,3.635,5.106,92.12,86.19,220.39,19.48,42.61,8.55,2373.7,True
W1_0204,204,Chamber 1,Stage B,204,24.4,869.5,2.412,2.406,2.297,3.198,64.74,59.56,158.43,16.35,32.16,8.44,1028.5,True
W1_0205,205,Chamber 1,Stage A,205,24.5,863.6,3.815,3.755,3.628,5.173,91.56,86.36,220.34,19.17,40.91,8.58,2331.4,True
W1_0206,206,Chamber 1,Stage A,206,24.6,853.8,3.759,3.749,3.611,5.158,92.25,85.72,221.16,18.95,40.99,8.54,2334.5,True
W1_0207,207,Chamber 1,Stage A,207,24.7,854.4,3.803,3.716,3.668,5.115,91.87,86.29,220.67,19.37,41.3,8.55,2353.0,True
W1_0208,208,Chamber 1,Stage B,208,24.8,860.9,2.393,2.351,2.3,3.257,65.57,60.43,157.38,16.51,32.72,8.59,1073.1,True
W1_0209,209,Chamber 1,Stage A,209,24.9,857.7,3.807,3.755,3.652,5.131,91.86,86.63,218.36,19.35,41.41,8.73,2318.7,True
W1_0210,210,Chamber 1,Stage A,210,25.0,851.6,3.827,3.706,3.652,5.228,91.8,85.58,222.96,19.35,41.81,8.79,2318.2,True
W1_0211,211,Chamber 1,Stage A,211,25.1,852.0,3.837,3.775,3.665,5.086,92.79,85.79,219.33,19.51,42.56,8.55,2369.6,True
W1_0212,212,Chamber 1,Stage B,212,25.2,848.4,2.417,2.276,2.295,3.252,64.54,60.15,159.59,16.35,32.35,8.76,1020.3,True
W1_0213,213,Chamber 1,Stage A,213,25.3,846.5,3.806,3.701,3.614,5.161,92.25,85.68,221.79,19.22,41.78,8.41,2325.7,True
W1_0214,214,Chamber 1,Stage A,214,25.4,844.3,3.794,3.718,3.626,5.121,91.38,85.8,219.43,19.2,41.29,8.46,2323.1,True
W1_0215,215,Chamber 1,Stage A,215,25.5,845.1,3.764,3.693,3.633,5.112,91.69,85.48,219.09,19.18,41.36,8.53,2284.9,True
W1_0216,216,Chamber 1,Stage B,216,25.6,840.3,2.375,2.369,2.25,3.222,65.12,60.07,165.39,16.07,32.09,8.55,1023.5,True
W1_0217,217,Chamber 1,Stage A,217,25.7,840.8,3.827,3.708,3.644,5.098,92.7,85.87,223.67,19.33,41.85,8.62,2304.5,True
W1_0218,218,Chamber 1,Stage A,218,25.8,839.2,3.825,3.723,3.606,5.127,92.68,86.5,219.88,19.1,40.94,8.64,2356.5,True
W1_0219,219,Chamber 1,Stage A,219,25.9,836.3,3.793,3.715,3.705,5.211,92.89,85.94,220.59,19.44,41.81,8.27,2323.5,True
W1_0220,220,Chamber 1,Stage B,220,26.0,837.8,2.375,2.334,2.288,3.213,65.33,59.56,160.44,16.24,31.95,8.68,1037.0,True
W1_0221,221,Chamber 1,Stage A,221,26.1,827.0,3.784,3.739,3.615,5.164,92.16,85.88,218.32,19.19,42.0,8.37,2317.5,True
W1_0222,222,Chamber 1,Stage A,222,26.2,831.7,3.782,3.723,3.621,5.083,91.73,86.12,219.63,18.99,40.47,8.16,2262.3,True
W1_0223,223,Chamber 1,Stage A,223,26.3,830.9,3.784,3.766,3.636,5.149,92.06,85.15,221.54,19.04,42.78,8.53,2333.9,True
W1_0224,224,Chamber 1,Stage B,224,26.4,831.8,2.409,2.351,2.291,3.212,65.13,59.39,161.5,16.37,31.96,8.44,1013.5,True
W1_0225,225,Chamber 1,Stage A,225,26.5,829.1,3.778,3.747,3.669,5.222,91.93,86.27,220.2,19.11,41.48,8.69,2316.7,True
W1_0226,226,Chamber 1,Stage A,226,26.6,826.2,3.808,3.721,3.654,5.209,92.39,86.35,219.09,19.48,42.15,8.37,2312.0,True
W1_0227,227,Chamber 1,Stage A,227,26.7,830.3,3.751,3.712,3.678,5.107,92.26,85.92,220.65,19.18,40.56,8.33,2279.1,True
W1_0228,228,Chamber 1,Stage B,228,26.8,819.6,2.423,2.366,2.35,3.193,65.7,60.37,159.53,16.23,32.02,8.67,1035.7,True
W1_0229,229,Chamber 1,Stage A,229,26.9,827.2,3.837,3.716,3.659,5.101,91.27,86.11,216.18,19.13,41.55,8.49,2305.2,True
W1_0230,230,Chamber 1,Stage A,230,27.0,830.1,3.775,3.74,3.654,5.143,92.51,86.29,220.58,19.11,41.13,8.25,2295.7,True
W1_0231,231,Chamber 1,Stage A,231,27.1,817.2,3.845,3.742,3.65,5.119,91.62,86.03,220.52,19.06,41.57,8.31,2297.3,True
W1_0232,232,Chamber 1,Stage B,232,27.2,821.4,2.457,2.369,2.264,3.264,64.38,60.43,159.06,16.23,32.13,8.49,1014.1,True
W1_0233,233,Chamber 1,Stage A,233,27.3,813.5,3.754,3.639,3.634,5.158,92.48,85.81,219.18,18.94,40.47,8.67,2279.1,True
W1_0234,234,Chamber 1,Stage A,234,27.4,814.5,3.801,3.649,3.628,5.153,91.61,86.02,220.89,19.13,41.02,8.45,2281.9,True
W1_0235,235,Chamber 1,Stage A,235,27.5,819.2,3.782,3.731,3.669,5.028,92.46,85.87,220.85,19.02,40.76,8.68,2289.8,True
W1_0236,236,Chamber 1,Stage B,236,27.6,810.7,2.374,2.335,2.31,3.18,64.84,60.13,159.33,16.29,31.7,8.49,1037.9,True
W1_0237,237,Chamber 1,Stage A,237,27.7,813.8,3.807,3.745,3.61,5.215,92.08,86.65,218.53,19.31,41.89,8.77,2294.9,True
W1_0238,238,Chamber 1,Stage A,238,27.8,809.0,3.804,3.665,3.614,5.121,92.12,85.98,222.44,19.23,40.78,8.21,2272.4,True
W1_0239,239,Chamber 1,Stage A,239,27.9,800.5,3.774,3.762,3.679,5.159,91.95,86.23,218.59,19.31,42.38,8.63,2305.2,True
W1_0240,240,Chamber 1,Stage B,240,28.0,810.6,2.417,2.366,2.248,3.182,64.89,59.88,157.58,16.22,32.21,8.56,1024.3,True
W1_0241,241,Chamber 1,Stage A,241,28.1,795.4,3.785,3.706,3.663,5.112,91.94,86.3,216.18,19.17,41.28,8.7,2283.3,True
W1_0242,242,Chamber 1,Stage A,242,28.2,802.6,3.845,3.725,3.661,5.178,91.59,86.19,219.46,18.89,40.66,8.63,2298.7,True
W1_0243,243,Chamber 1,Stage A,243,28.3,804.4,3.779,3.703,3.645,5.085,92.34,85.85,214.19,18.91,40.47,8.44,2275.7,True
W1_0244,244,Chamber 1,Stage B,244,28.4,799.8,2.409,2.334,2.318,3.217,64.72,59.54,156.5,16.25,32.22,8.44,991.7,True
W1_0245,245,Chamber 1,Stage A,245,28.5,792.6,3.76,3.747,3.618,5.092,91.41,85.8,221.95,19.12,41.72,8.58,2255.0,True
W1_0246,246,Chamber 1,Stage A,246,28.6,786.6,3.84,3.688,3.675,5.175,92.73,85.84,221.42,18.94,40.77,8.84,2301.8,True
W1_0247,247,Chamber 1,Stage A,247,28.7,797.2,3.789,3.737,3.654,5.151,92.09,86.51,218.1,19.19,41.39,8.4,2291.0,True
W1_0248,248,Chamber 1,Stage B,248,28.8,793.6,2.365,2.402,2.35,3.277,65.71,59.34,158.95,16.42,32.12,8.39,1038.5,True
W1_0249,249,Chamber 1,Stage A,249,28.9,793.2,3.809,3.694,3.623,5.192,92.31,85.98,219.16,18.9,41.49,8.2,2269.7,True
W1_0250,250,Chamber 1,Stage A,250,29.0,780.1,3.762,3.73,3.676,5.131,93.15,85.33,222.12,19.18,41.78,8.47,2280.9,True
W1_0251,251,Chamber 1,Stage A,251,29.1,782.2,3.818,3.733,3.667,5.183,92.15,86.06,218.24,19.29,42.27,8.39,2281.9,True
W1_0252,252,Chamber 1,Stage B,252,29.2,789.6,2.435,2.372,2.362,3.196,64.85,60.09,161.29,16.35,32.48,8.47,1007.8,True
W1_0253,253,Chamber 1,Stage A,253,29.3,780.0,3.835,3.728,3.65,5.158,91.66,86.01,215.7,18.95,41.24,8.63,2265.9,True
W1_0254,254,Chamber 1,Stage A,254,29.4,777.1,3.791,3.767,3.573,5.194,92.14,85.52,217.85,19.13,40.54,8.75,2256.4,True
W1_0255,255,Chamber 1,Stage A,255,29.5,777.8,3.806,3.693,3.681,5.183,92.21,86.14,223.52,19.24,41.07,8.5,2254.2,True
W1_0256,256,Chamber 1,Stage B,256,29.6,775.2,2.412,2.35,2.275,3.296,65.93,60.08,158.19,16.36,32.64,8.27,1008.3,True
W1_0257,257,Chamber 1,Stage A,257,29.7,778.8,3.767,3.749,3.675,5.053,92.64,86.23,222.8,19.08,40.87,8.3,2301.6,True
W1_0258,258,Chamber 1,Stage A,258,29.8,774.6,3.793,3.693,3.685,5.082,92.65,85.89,223.18,19.11,41.14,8.6,2271.5,True
W1_0259,259,Chamber 1,Stage A,259,29.9,770.5,3.782,3.719,3.65,5.024,92.18,85.61,217.69,18.86,40.2,8.25,2278.0,True
W1_0260,260,Chamber 1,Stage B,260,30.0,768.1,2.405,2.364,2.308,3.236,64.52,60.58,163.61,16.14,32.0,8.25,1011.6,True
W1_0261,261,Chamber 1,Stage A,261,30.1,769.1,3.865,3.76,3.654,5.181,92.44,85.77,218.37,19.13,41.8,8.51,2265.0,True
W1_0262,262,Chamber 1,Stage A,262,30.2,757.6,3.798,3.783,3.606,5.155,92.6,86.91,219.19,19.24,41.69,8.57,2279.3,True
W1_0263,263,Chamber 1,Stage A,263,30.3,760.9,3.82,3.728,3.641,5.232,91.73,85.84,223.98,19.15,41.01,8.38,2251.1,True
W1_0264,264,Chamber 1,Stage B,264,30.4,769.8,2.384,2.334,2.302,3.261,65.17,59.29,162.13,16.43,32.49,8.54,995.4,True
W1_0265,265,Chamber 1,Stage A,265,30.5,765.5,3.816,3.721,3.716,5.174,92.23,85.49,217.42,19.19,41.21,8.54,2282.3,True
W1_0266,266,Chamber 1,Stage A,266,30.6,759.6,3.766,3.721,3.624,5.111,91.83,85.81,217.49,19.24,40.05,8.48,2243.1,True
W1_0267,267,Chamber 1,Stage A,267,30.7,759.1,3.801,3.689,3.699,5.225,92.06,86.41,220.35,19.06,41.2,8.3,2248.4,True
W1_0268,268,Chamber 1,Stage B,268,30.8,757.5,2.398,2.354,2.272,3.204,64.49,60.39,155.79,16.07,32.29,8.67,982.2,True
W1_0269,269,Chamber 1,Stage A,269,30.9,759.4,3.77,3.709,3.694,5.163,91.63,85.36,219.35,19.2,41.15,8.47,2255.9,True
W1_0270,270,Chamber 1,Stage A,270,31.0,752.4,3.799,3.719,3.637,5.189,91.75,86.02,220.1,18.95,40.79,8.42,2238.5,True
W1_0271,271,Chamber 1,Stage A,271,31.1,749.0,3.837,3.698,3.699,5.043,92.17,86.19,218.41,19.36,41.13,8.56,2215.0,True
W1_0272,272,Chamber 1,Stage B,272,31.2,757.6,2.449,2.335,2.269,3.23,65.83,59.27,157.9,16.24,32.46,8.72,1023.0,True
W1_0273,273,Chamber 1,Stage A,273,31.3,745.1,3.82,3.7,3.647,5.122,92.13,86.58,221.76,19.36,41.85,8.34,2262.8,True
W1_0274,274,Chamber 1,Stage A,274,31.4,744.9,3.799,3.708,3.601,5.147,93.0,85.26,219.94,18.98,41.15,8.6,2225.9,True
W1_0275,275,Chamber 1,Stage A,275,31.5,741.2,3.734,3.76,3.677,5.133,92.09,86.43,220.45,19.13,41.53,8.64,2238.5,True
W1_0276,276,Chamber 1,Stage B,276,31.6,740.9,2.409,2.327,2.285,3.199,64.57,60.85,162.66,16.07,32.0,8.79,976.1,True
W1_0277,277,Chamber 1,Stage A,277,31.7,739.7,3.837,3.712,3.68,5.16,92.92,85.41,222.52,19.07,41.26,8.67,2239.1,True
W1_0278,278,Chamber 1,Stage A,278,31.8,742.9,3.778,3.785,3.648,5.169,91.68,85.69,222.16,19.08,41.05,8.3,2221.9,True
W1_0279,279,Chamber 1,Stage A,279,31.9,736.3,3.821,3.746,3.618,5.116,92.48,86.36,217.25,19.11,40.59,8.55,2220.5,True
W1_0280,280,Chamber 1,Stage B,280,32.0,739.8,2.423,2.306,2.285,3.27,64.75,59.91,161.49,16.3,32.05,8.56,974.9,True
W1_0281,281,Chamber 1,Stage A,281,32.1,738.1,3.785,3.719,3.618,5.128,91.68,85.55,220.52,19.19,41.17,8.53,2208.3,True
W1_0282,282,Chamber 1,Stage A,282,32.2,729.7,3.775,3.728,3.659,5.13,91.17,86.06,224.43,19.03,40.93,8.45,2224.2,True
W1_0283,283,Chamber 1,Stage A,283,32.3,737.8,3.822,3.742,3.644,5.147,92.41,86.35,217.71,19.14,41.28,8.62,2229.5,True
W1_0284,284,Chamber 1,Stage B,284,32.4,734.8,2.397,2.318,2.292,3.249,65.49,60.24,158.3,16.26,32.58,8.87,989.1,True
W1_0285,285,Chamber 1,Stage A,285,32.5,729.2,3.837,3.756,3.674,5.114,91.77,86.13,221.87,19.17,42.09,8.47,2217.6,True
W1_0286,286,Chamber 1,Stage A,286,32.6,737.3,3.809,3.708,3.689,5.151,92.02,85.43,217.37,18.84,40.69,8.54,2258.7,True
W1_0287,287,Chamber 1,Stage A,287,32.7,729.9,3.795,3.721,3.678,5.215,91.34,85.29,218.76,19.0,41.54,8.59,2161.5,True
W1_0288,288,Chamber 1,Stage B,288,32.8,725.5,2.375,2.291,2.308,3.28,64.95,59.82,159.68,16.22,31.64,8.44,970.9,True
W1_0289,289,Chamber 1,Stage A,289,32.9,723.6,3.77,3.719,3.583,5.139,92.57,85.41,218.83,19.12,41.29,8.55,2156.5,True
W1_0290,290,Chamber 1,Stage A,290,33.0,719.3,3.861,3.732,3.647,5.146,92.0,85.67,221.65,19.25,40.9,8.53,2223.5,True
W1_0291,291,Chamber 1,Stage A,291,33.1,715.7,3.83,3.709,3.625,5.092,91.29,86.19,216.34,18.82,40.3,8.32,2187.7,True
W1_0292,292,Chamber 1,Stage B,292,33.2,716.9,2.365,2.366,2.287,3.256,64.65,60.07,162.61,16.2,32.1,8.59,969.1,True
W1_0293,293,Chamber 1,Stage A,293,33.3,719.2,3.795,3.73,3.618,5.079,91.44,85.36,217.57,18.94,40.8,8.52,2148.5,True
W1_0294,294,Chamber 1,Stage A,294,33.4,716.0,3.824,3.694,3.661,5.087,92.04,85.49,216.41,18.94,40.91,8.44,2186.1,True
W1_0295,295,Chamber 1,Stage A,295,33.5,709.4,3.799,3.729,3.628,5.189,91.53,86.2,222.36,19.15,40.81,8.57,2167.3,True
W1_0296,296,Chamber 1,Stage B,296,33.6,709.7,2.388,2.389,2.315,3.192,64.88,59.75,158.58,16.27,32.42,8.65,991.4,True
W1_0297,297,Chamber 1,Stage A,297,33.7,708.1,3.796,3.681,3.632,5.155,92.52,85.56,219.27,18.83,40.69,8.48,2177.6,True
W1_0298,298,Chamber 1,Stage A,298,33.8,702.4,3.776,3.724,3.642,5.111,91.71,86.13,223.31,19.18,40.95,8.52,2165.9,True
W1_0299,299,Chamber 1,Stage A,299,33.9,697.9,3.778,3.76,3.677,5.142,91.39,85.92,220.6,18.86,40.15,8.53,2195.4,True
W1_0300,300,Chamber 1,Stage B,300,34.0,706.5,2.395,2.356,2.329,3.275,65.23,59.68,156.18,16.38,32.72,8.44,978.8,True
W1_0301,301,Chamber 1,Stage A,301,34.1,707.4,3.783,3.72,3.698,5.083,92.65,85.87,222.65,19.03,41.14,8.29,2200.9,True
W1_0302,302,Chamber 1,Stage A,302,34.2,700.4,3.775,3.679,3.645,5.126,92.22,86.38,219.88,18.92,40.98,8.78,2172.0,True
W1_0303,303,Chamber 1,Stage A,303,34.3,698.7,3.829,3.738,3.613,5.139,92.27,86.61,221.78,19.23,41.28,8.61,2173.6,True
W1_0304,304,Chamber 1,Stage B,304,34.4,695.1,2.377,2.363,2.341,3.21,64.04,59.84,161.83,16.13,32.06,8.58,969.4,True
W1_0305,305,Chamber 1,Stage A,305,34.5,694.3,3.866,3.741,3.631,5.099,91.96,85.9,222.23,19.01,41.43,8.53,2200.9,True
W1_0306,306,Chamber 1,Stage A,306,34.6,700.9,3.811,3.733,3.591,5.231,92.52,85.84,217.8,19.09,41.15,8.55,2180.9,True
W1_0307,307,Chamber 1,Stage A,307,34.7,686.7,3.817,3.693,3.689,5.212,93.26,85.55,220.49,19.35,41.18,8.19,2178.5,True
W1_0308,308,Chamber 1,Stage B,308,34.8,693.7,2.386,2.293,2.327,3.137,65.01,59.17,159.36,16.23,31.81,8.75,951.0,True
W1_0309,309,Chamber 1,Stage A,309,34.9,688.2,3.759,3.742,3.567,5.099,91.8,86.25,220.05,18.9,40.59,8.29,2142.3,True
W1_0310,310,Chamber 1,Stage A,310,35.0,691.7,3.821,3.708,3.645,5.238,91.43,85.26,221.57,18.96,40.55,8.4,2177.9,True
W1_0311,311,Chamber 1,Stage A,311,35.1,680.4,3.826,3.682,3.613,4.988,91.68,86.38,221.03,19.05,40.72,8.47,2169.4,True
W1_0312,312,Chamber 1,Stage B,312,35.2,686.0,2.409,2.38,2.292,3.275,66.13,59.96,160.79,16.3,32.36,8.39,957.4,True
W1_0313,313,Chamber 1,Stage A,313,35.3,678.8,3.844,3.737,3.677,5.118,92.3,86.11,218.1,19.01,40.62,8.55,2189.3,True
W1_0314,314,Chamber 1,Stage A,314,35.4,679.1,3.832,3.741,3.627,5.053,91.94,85.82,220.23,18.8,40.19,8.45,2173.7,True
W1_0315,315,Chamber 1,Stage A,315,35.5,685.2,3.85,3.667,3.687,5.119,92.34,86.03,222.28,18.94,41.11,8.44,2174.8,True
W1_0316,316,Chamber 1,Stage B,316,35.6,684.0,2.369,2.37,2.286,3.233,65.03,59.4,158.44,16.29,32.15,8.7,944.6,True
W1_0317,317,Chamber 1,Stage A,317,35.7,674.5,3.794,3.731,3.682,5.091,92.62,85.39,223.26,18.99,40.38,8.44,2148.9,True
W1_0318,318,Chamber 1,Stage A,318,35.8,680.4,3.796,3.753,3.654,5.145,91.56,85.65,223.6,19.22,41.46,8.39,2168.2,True
W1_0319,319,Chamber 1,Stage A,319,35.9,675.2,3.797,3.712,3.646,5.147,92.36,86.0,221.24,18.94,41.2,8.75,2115.3,True
W1_0320,320,Chamber 1,Stage B,320,36.0,672.3,2.397,2.337,2.311,3.237,65.45,60.03,158.51,16.18,32.22,8.65,946.7,True
W1_0321,321,Chamber 1,Stage A,321,36.1,668.4,3.8,3.738,3.64,5.038,91.83,86.32,219.41,19.0,41.11,8.46,2149.9,True
W1_0322,322,Chamber 1,Stage A,322,36.2,670.1,3.771,3.719,3.663,5.13,92.12,86.73,219.31,18.94,40.56,8.54,2146.4,True
W1_0323,323,Chamber 1,Stage A,323,36.3,655.0,3.87,3.703,3.636,5.127,92.16,86.11,222.57,18.9,40.03,8.14,2132.7,True
W1_0324,324,Chamber 1,Stage B,324,36.4,663.2,2.417,2.359,2.271,3.191,64.61,60.04,158.75,15.97,31.34,8.57,943.1,True
W1_0325,325,Chamber 1,Stage A,325,36.5,658.3,3.824,3.668,3.649,5.158,92.74,85.81,220.65,18.77,40.35,8.23,2161.2,True
W1_0326,326,Chamber 1,Stage A,326,36.6,660.7,3.816,3.78,3.661,5.144,92.0,85.37,222.71,18.99,40.71,8.41,2171.4,True
W1_0327,327,Chamber 1,Stage A,327,36.7,664.8,3.844,3.722,3.593,5.175,91.76,86.28,220.05,19.09,41.62,8.27,2136.0,True
W1_0328,328,Chamber 1,Stage B,328,36.8,657.6,2.406,2.358,2.271,3.252,65.41,59.67,162.85,16.15,32.21,8.49,958.1,True
W1_0329,329,Chamber 1,Stage A,329,36.9,654.8,3.798,3.739,3.657,5.03,91.55,86.37,219.74,18.68,40.13,8.42,2136.2,True
W1_0330,330,Chamber 1,Stage A,330,37.0,657.9,3.771,3.722,3.659,5.235,91.4,86.46,221.95,19.05,40.8,8.38,2150.5,True
W1_0331,331,Chamber 1,Stage A,331,37.1,650.0,3.815,3.711,3.603,5.12,92.48,85.39,217.89,18.85,40.25,8.52,2101.7,True
W1_0332,332,Chamber 1,Stage B,332,37.2,656.2,2.421,2.313,2.256,3.208,65.29,59.92,159.07,16.16,31.88,8.51,931.5,True
W1_0333,333,Chamber 1,Stage A,333,37.3,657.3,3.766,3.758,3.653,5.113,91.99,85.96,222.44,18.87,40.94,8.34,2142.4,True
W1_0334,334,Chamber 1,Stage A,334,37.4,649.7,3.788,3.744,3.613,5.168,92.08,86.19,218.71,19.04,40.43,8.25,2138.2,True
W1_0335,335,Chamber 1,Stage A,335,37.5,648.9,3.858,3.755,3.628,5.131,91.98,85.37,218.12,18.78,40.22,8.42,2104.5,True
W1_0336,336,Chamber 1,Stage B,336,37.6,645.7,2.421,2.359,2.294,3.27,65.27,60.12,158.35,16.51,32.09,8.54,939.0,True
W1_0337,337,Chamber 1,Stage A,337,37.7,644.6,3.78,3.731,3.596,5.103,91.56,86.05,221.99,18.74,40.52,8.6,2092.5,True
W1_0338,338,Chamber 1,Stage A,338,37.8,640.2,3.805,3.704,3.654,5.1,91.84,85.73,217.13,19.14,41.18,8.52,2116.9,True
W1_0339,339,Chamber 1,Stage A,339,37.9,640.2,3.825,3.683,3.621,5.082,92.43,86.38,220.97,18.9,40.67,8.66,2131.6,True
W1_0340,340,Chamber 1,Stage B,340,38.0,630.1,2.388,2.368,2.33,3.207,64.98,59.58,155.0,16.06,32.21,8.53,933.3,True
W1_0341,341,Chamber 1,Stage A,341,38.1,638.3,3.841,3.691,3.686,5.177,91.64,85.55,220.7,18.84,40.73,8.37,2079.4,True
W1_0342,342,Chamber 1,Stage A,342,38.2,632.7,3.783,3.707,3.669,5.189,91.89,85.86,221.0,19.08,41.05,8.3,2077.9,True
W1_0343,343,Chamber 1,Stage A,343,38.3,627.8,3.774,3.727,3.662,5.205,91.8,85.8,222.3,19.01,41.32,8.54,2084.4,True
W1_0344,344,Chamber 1,Stage B,344,38.4,637.5,2.42,2.388,2.359,3.282,65.47,59.77,157.69,16.32,32.25,8.63,956.3,True
W1_0345,345,Chamber 1,Stage A,345,38.5,630.6,3.839,3.74,3.673,5.156,91.82,86.3,217.21,18.82,40.61,8.66,2130.4,True
W1_0346,346,Chamber 1,Stage A,346,38.6,633.4,3.752,3.737,3.631,5.174,92.0,86.16,218.08,19.09,40.86,8.41,2084.2,True
W1_0347,347,Chamber 1,Stage A,347,38.7,622.7,3.735,3.688,3.619,5.062,91.37,86.17,219.57,19.07,40.91,8.56,2071.8,True
W1_0348,348,Chamber 1,Stage B,348,38.8,634.1,2.432,2.334,2.276,3.231,64.63,59.83,160.69,16.26,31.68,8.55,933.7,True
W1_0349,349,Chamber 1,Stage A,349,38.9,625.0,3.835,3.758,3.606,5.168,91.98,85.78,220.34,19.13,40.74,8.64,2092.1,True
W1_0350,350,Chamber 1,Stage A,350,39.0,621.6,3.791,3.717,3.671,5.078,92.78,85.27,218.8,19.06,41.0,8.56,2106.0,True
W1_0351,351,Chamber 1,Stage A,351,39.1,617.3,3.842,3.749,3.674,5.082,91.97,85.88,217.99,18.86,40.92,8.55,2136.6,True
